Meaning,,Jurchen,,,,,,Manchu,,,,,,Xibe,,,,,,Hezhe,,,,,,Kur-Urmì,,,,,,Bikin Nanai,,,,,,Najkhin Nanai,,,,,,Ulch,,,,,,Orok,,,,,,Udihe,,,,,,Oroch,,,,,,Solon,,,,,,Oroqen,,,,,,Khamnigan Evenki,,,,,,Stony Tunguska Evenki (Southern),,,,,,"Strelka-Chunya Evenki (Krasnoyarsk krai, Evenki municipal district; Southern)",,,,,,"Tutonchany Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Chiringda Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Teteya Evenki (Irkutsk oblast, Katangskiy district; Northern)",,,,,,Negidal,,,,,,Even,,,,,
,root,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basìc orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References
,ədu-,,,,,,,edu-,ədu-,ədu-,,intr.,Norman 1978: 170,udun da-,udun da-,udun dɑ-,,"intr., lit. wind falls",Li 1986: 160,ədinə-,ədinə-,ɜdinə-,,intr.,Zhang et al. 1989: 120,èdi-nè-,ədi-nə-,ədi-nə-,,"èdinè- - intr. (about wind), < wind-SUF-",Sunik 1958: 205,hèdun- ~ hèdun-dè-,hədun- ~ hədun-də-,xədun- ~ xədundə-,,wind-SUF-,Sem 1976: 205,hèdun-,hədun-,xədwun-,,intr. (wind),Onenko 1980: 487,hèdun-,hədun-,xədun-,,intr.,Sunik 1985: 254,xədun-,hədun-,xədun-,,intr.,Ikegami 1997: 234,ədi-nə-,ədi-nə-,ədi-nə-,,about the wind only < wind-VBLZ-,Girfanova 2001: 360,èdin-,ədin-,ədin-,,"only about wind, intr.","Avrorin, Lebedeva 1978: 256",edin-,ədin-,ədin-,,intr.,Dorji 1998: 152,ədin-,ədin-,ədin-,,intr.,Hu 1986: 203,ədin-,ədin-,ədin-,,intr.,Tsumagari 1992: 90,èdyn-,ədyn-,ədɨn-,,only intr.,Vasilevich 1958: 548,,,,,,,,,,,,,,,,,,,,ədɨn-,ədɨn-,,about wind,,èdin-,ədin-,ədin-,,intr.,Cincius 1982: 302,èdăl- ~ èdăn-,edel- ~ eden-,edel- ~ eden-,,intr.,Novikova 1980: 238
,puː-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pū-,puː-,pwuː-,,trans.,Onenko 1980: 339,pū-,puː-,puː-,,trans.,Sunik 1985: 226,puu-,puː-,puː-,,puu-,Ikegami 1997: 170,,,,,,,hū-,huː-,xuː-,,tr.,"Avrorin, Lebedeva 1978: 248",uuḡu-,uːgu-,uːgu-,,tr.; uːgu- < * blow-SUF- (?),Dorji 1998: 742,uu-,uː-,uː-,,trans.,Hu 1986: 200,xuuwu-,huːwu-,huːwu-,,tr.,Tsumagari 1992: 90,huv-,huw-,hʉw-,,both trans. and intr.,Vasilevich 1958: 488,,huːp-,huːp-,,,,,huːp-,huːp-,,,,,hup-,hup-,,,,,,,,,,hūv-,huːw-,xuːw-,,tr.,Cincius 1982: 291,ḥū-,huː-,ħuː-,,trans.,Novikova 1980: 228
wood (n.),mo,mo,mo,mo,firewood; tree,,Kane 1989: 179,moo,moː,moː,tree; stick,,Norman 1978: 200,mo,mo,mo,,,Kubo et al. 2011: 26,mɔ,mo,mo,tree,,Zhang et al. 1989: 104,mō,moː,moː,stick; tree; firewood,,Sunik 1958: 183,mō ~ mu̇̄,moː ~ moː,moː ~ moː,tree; forest; firewood; stick,,Sem 1976: 172,mō,moː,mwoː,tree; firewood; stick,,Onenko 1980: 263,mō,moː,moː,,,Sunik 1985: 213,moo,moː,mɔː,tree; stick; firewood,,Ikegami 1997: 124,mō,moː,moː,tree; stick; firewood,,Girfanova 2001: 207,mō,moː,mɔː,tree; stick; forest; firewood,,"Avrorin, Lebedeva 1978: 204",mɵ,mͻ,mͻ,tree; stick,,Dorji 1998: 444,mɔɔ,mɔː,mʊɔː,tree; firewood,,Hu 1986: 193,moo,moː,moː,,,Janhunen 1991: 48,mō,moː,moː,tree; firewood,,Vasilevich 1958: 254,,mo,mo,,,,,moː,moː,same as firewood,,,,mo,mo,same as firewood,,,,moː,moː,,,,mō,moː,moː,tree; stick; firewood; forest,,Cincius 1982: 241,mō,mọː,moˁː,tree,,Novikova 1980: 190
run (v.),fagdala-,,,,,,,,,,,,,,,,,,,,,,,,,fagdala-,fagdala-,faɢdala-,,,Sunik 1958: 197,fāǧd'ala-,faːgdala-,faːgdala-,,,Sem 1976: 194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bugda-,,,,,,,,,,,,,,,,,,,bugda-,bugda-,pukda-,,,Zhang et al. 1989: 137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tutu-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tutu-,tutu-,twutwu-,,only human,Onenko 1980: 413,tutu-,tutu-,tutu-,,,Sunik 1985: 242,,,,,,,,,,,,,tutu-,tutu-,tutu-,,about a man or a bird,"Avrorin, Lebedeva 1978: 235",tuteli-,tutəli-,tutəli-,,"maybe, < * tutə-li-",Dorji 1998: 714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tut-,tut-,tut-,,,Novikova 1980: 214
,tuksa-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tuksa-,tuksa-,tuksɑ-,,,Ikegami 1997: 213,tukeœ-,tukä-,thukjæ-,,,Girfanova 2001: 304,,,,,,,,,,,,,tʊkʃa-,tụkša-,tʊkʃa-,,,Hu 1986: 200,tuksa-,tuksa-,tʊksa-,,,Tsumagari 1992: 98,tuksa-,tuksa-,tuksa-,,,Vasilevich 1958: 398,,,,,,,,tuhsa-,tuxsa-,,,,,tuksaːn,tuksaːn,,,,,tuxsaːn-,tuxsaːn-,,,,toksa-,toksa-,toksa-,,about person,Cincius 1982: 276,,,,,,
,suʤu-,,,,,,,suju-,suʤu-,suʤu-,,,Norman 1978: 251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fəxsi-,,,,,,,,,,,,,fəxɕi-,fəxsi-,fɘxɕi-,,,Li 1986: 157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huktɨ-,huktɨ-,,,,,,,,,,,,,,,,,huktɨ-,huktɨ-,,about animals,,,,,,,,,,,,,
fall (v.),tuhə-,tuhe-,tuhə-,tuxə-,,,Kane 1989: 140,tuhe-,tuhə-,tuxə-,to sink,,Norman 1978: 283,tuxu-,tuxu-,thuɣu-,,,Li 1986: 157,duəxən-,duəhən-,tuəxən-,,,Zhang et al. 1989: 127,tiki-,tiki-,tikji-,,,Sunik 1958: 193,tū-,tuː-,tuː-,,,Sem 1976: 190,tū-,tuː-,twuː-,,,Onenko 1980: 407,tū-,tuː-,tuː-,,,Sunik 1985: 242,tuu- ~ tuk-,tuː- ~ tuk-,tuː- ~ tuk-,,,Ikegami 1997: 212,tiŋmə-,tiŋmə-,tiŋmə-,alight,,Girfanova 2001: 298,tī-,tiː-,tiː-,,,"Avrorin, Lebedeva 1978: 230",tihi-,tihi-,tixi-,,,Dorji 1998: 688,tiki-,tiki-,tixi-,,,Hu 1986: 200,tikki-,tikki-,tikːi-,,,Tsumagari 1992: 92,tyk-,tyk-,tɨk-,,,Vasilevich 1958: 408,,,,,,,,,,,,,,,,,,,,,,,,,tik-,tik-,tik-,,,Cincius 1982: 274,tik-,tik-,tik-,sink,,Novikova 1980: 210
,buru-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buru-,buru-,bʉrʉ-,,,Vasilevich 1958: 70,,buru-,buru-,,,,,buru-,buru-,,,,,buru-,buru-,,,,,buru-,buru-,,,,,,,,,,,,,,,
eye (n.),jasa,yasa,jasa,jasa,,,Kane 1989: 314,yasa,jasa,jasa,mesh of a net,,Norman 1978: 313,jas,jas,jɑs,,,Li 1986: 148,isala,isala,izala,,,Zhang et al. 1989: 127,esal ~ nasal,esal ~ nasal,esal ~ nasal,,,Sunik 1958: 173,ísala- ~ n'ísala-,ịsala- ~ ńịsala-,esala- ~ ɲesala-,,with possessive marker,Sem 1976: 159,nasal,nasal,nasal,mesh of a net,,Onenko 1980: 284,ísal(í),esal(e),esal(e),,,Sunik 1985: 199,isal,isal,isɑl,,,Ikegami 1997: 81,jehœ,jä,jæ,"mesh of a net, spiderweb",,Girfanova 2001: 371,isa(g),isa(g),isa(g),grain; net mesh,,"Avrorin, Lebedeva 1978: 190",iisal,iːšal,ɪːsal,,,Dorji 1998: 320,jᴇᴇʃa,jeːša,jeːha,,,Hu 1986: 194,iisal,iːsal,ɪːsal,,,Tsumagari 1992: 92,è̄sa,əːsa,əːsa,,,Vasilevich 1958: 567,,esa,esa,,,,,eːha,eːha,,,,,eːha,eːha,,,,,eːha,eːha,,,,ēsa,eːsa,ɛːsa,grain,,Cincius 1982: 222,ǣsál,iasál,iˁ͡aˁsaˁ́l,,,Novikova 1980: 177
ash (n.),fuləŋgi,fulenggi,fuləŋgi,fuləŋgi,,,Kane 1989: 164,fulenggi,fuləŋgi,fuləŋgji,,,Norman 1978: 94,filiŋ,filiŋ,filiŋ,,,Li 1986: 154,fuləbtə,fuləbtə,fʋləpthə,,,An 1986: 96,fun'èktè,fuńəktə,fuɲəktə,,,Sunik 1958: 198,hulèftè,huləftə,xuləftə,,< Ud. / Evk. ?,Sem 1976: 204,punektèn,puńəktən,pwuɲəktən,,,Onenko 1980: 343,punèḳtè,punəqtə,punəqtə,,,Sunik 1985: 226,punəktə(n),punəktə(n),punəktə(n),,,Ikegami 1997: 167,xuləptə,huləptə,xuləptə,,,Girfanova 2001: 337,hulèptè,huləptə,xuləptə,,,"Avrorin, Lebedeva 1978: 249",uletteng,uləttəŋ,ulətːəŋ,,,Dorji 1998: 729,uləptən,uləptən,uləptən,,,Hu 1986: 198,xuləptəən,huləptəːn,huləptəːn,,,Tsumagari 1992: 89,ulè̄ptyn ~ ulè̄ptèn ~ hulèptèn,uləːptyn ~ uləːptən ~ huləptən,ʉləːptɨn ~ ʉləːptən ~ hʉləptən,,,"Vasilevich 1958: 441, 494",,huləptɒːn,huləptɒːn,,,,,huloptaːn,xuloptɒːn,,,,,huloptɒn,huloptɒn,,,,,,,,,,hulạ̄ptạ̄n ~ hulè̄ptè̄n,hulọːptọːn ~ huləːptəːn,xulɵːptɵːn ~ xuləːptəːn,,,Cincius 1982: 293,ḥultèn,hulten,ħulten,,,Novikova 1980: 228
,tukala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tukala,tukala,clay; sand; soil,,,,,,,,,,,,,,,,tukala,tukala,,,,,,,,,,,,,,,
tail (n.),u[n]čə,u[n]če,u[n]čə,u[n]ʧə,,,Kane 1989: 231,uncehen,unčəhən,unʧəxən,,,Norman 1978: 296,unʨxin,unčxin,untʂxin,,,Li 1986: 147,jilgi,jilgi,jiɬgi,,,An 1986: 90,id'gi,idjgi,idjgji,,,Sunik 1958: 175,huigu,huigu,xuigu,,,Sem 1976: 204,hujgu,hujgu,xwujgwu,,,Onenko 1980: 476,huǯu,huʤu,xuʤu,,,Sunik 1985: 253,xudu,hudu,xudu,,,Ikegami 1997: 244,igi,igi,iɣji,,,Girfanova 2001: 145,huggu ~ iggi,huggu ~ iggi,xugːu ~ igːji,,,"Avrorin, Lebedeva 1978: 248, 186",iggi,iggi,igːi,,,Dorji 1998: 316,irgi,irgi,irgi,,,Hu 1986: 193,irgi,irgi,irgi,,,Tsumagari 1992: 99,irgi,irgi,ɨrɣɨ,,,Vasilevich 1958: 176,,irgi,irgi,,,,,irgi,irgi,,,,,irgiː,irgiː,,,,,irgi,irgi,,,,iggi ~ īgi ~ iǰgi ~ idgi,iggi ~ iːgi ~ ijgi ~ idgi,iɣːi ~ iːɣi ~ ijgi ~ idgi,mind,,Cincius 1982: 223,irgă,irge,irge,,,Novikova 1980: 178
dog (n.),indahu,indahu,indahu,indaxu,,,Kane 1989: 216,indahūn,indahuːn,indaχuːn,,,Norman 1978: 148,jonχun,jonhun,jonxun,,,Li 1986: 145,inaki,inaki,inakhi,,,Zhang et al. 1989: 126,enakìn,enakịn,enaqɪn,,,Sunik 1958: 173,índa,ịnda,enda,,,Sem 1976: 159,inda,enda,enda,,,Onenko 1980: 194,índa,enda,enda,,,Sunik 1985: 198,ŋinda,ŋinda,ŋindɑ,,,Ikegami 1997: 144,inˀai,inˀai,ina̰i,,,Girfanova 2001: 151,inaki(n),inaki(n),inaxqji(n),,,"Avrorin, Lebedeva 1978: 189",nini.hing,nini.hiŋ,ninixiŋ,,< *dog.SUF,Dorji 1998: 491,ŋana.kɪn,ŋana.ken,ŋanaxen,,< *dog.SUF,Hu 1986: 192,nina.kin,nina.kin,ɲɪnakɪn,,< *dog.SUF,Tsumagari 1992: 91,nina.kin ~ ngina.kin,nina.kin ~ ŋina.kin,ninakin ~ ŋinakin,,< *dog.SUF,"Vasilevich 1958: 294, 280",,ŋinakin,ŋinakin,,,,,,,,,,,ŋinakin,ŋinakin,,,,,ŋinakin,ŋinakin,,,,nena.hin ~ nina.hin ~ ňina.hin ~ nena.kin ~ nina.kin,nena.hin ~ nina.hin ~ ŋina.hin ~ nena.kin ~ nina.kin,nenaxin ~ ninaxin ~ ŋinaxin ~ nenakin ~ ninakin,,< *dog.SUF,Cincius 1982: 246,ŋín,ŋin,ŋiˁn,,,Novikova 1980: 202
cry / weep (v.),suŋgu,sunggu,suŋgu,suŋgu,,,Kane 1989: 290,songgo-,soŋgo-,soŋɢo-,,,Norman 1978: 248,soŋu-,soŋu-,soŋu-,,,Li 1986: 159,sɔŋu-,soŋu-,sɔŋu-,,,Zhang et al. 1989: 144,soŋo-,soŋo-,soŋo-,,,Sunik 1958: 190,soŋǧo-,soŋgo-,soŋɢo-,,,Sem 1976: 185,songo-,soŋo-,swoɴwo-,,,Onenko 1980: 374,soňgo-,soŋgo-,soŋgo-,,,Sunik 1985: 234,soŋo-,soŋo-,sɔŋɔ-,,,Ikegami 1997: 189,soŋo-,soŋo-,soŋo-,,,Girfanova 2001: 278,soňo-,soŋo-,sɔŋɔ-,,,"Avrorin, Lebedeva 1978: 224",sɵngɵ-,šͻŋͻ-,sͻŋͻ-,,,Dorji 1998: 629,ʃɔŋɔ-,šɔŋɔ-,ʃɔŋɔ-,,,Hu 1986: 203,soŋo-,soŋo-,soŋo-,,,Tsumagari 1992: 101,songo-,soŋo-,soŋo-,,,Vasilevich 1958: 363,,soŋo-,soŋo-,,,,,hoŋoː,hoŋoː,,,,,hoŋo-,hoŋo-,,,,,hoŋo-,hoŋo-,,,,soňo- ~ soňo-ǯi-,soŋo- ~ soŋo-ʤi-,soŋɣo- ~ soŋɣoʤi-,,cry-SUF-,Cincius 1982: 269,ḥoŋ-,họŋ-,ħoˁŋ-,,,Novikova 1980: 225
,gwade-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gvadí- ~ gúadí-,gwade- ~ goade-,gwade- ~ goade-,,,Sunik 1985: 183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tie (v.),hərkə- (*kerge-),,,,,,,,,,,,,,,,,,,xerke-,hərkə-,xərkhə-,,,Li 2006: 106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,həkə-,həkə-,xəkə-,,,Girfanova 2001: 333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hərkə- (*perke-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hèrkè-,hərkə-,hərkə-,,,Vasilevich 1958: 511,,,,,,,,,,,,,,,,,,,,,,,,,hèǰgi- ~ hèǰkè- ~ hèskè-,həjgi- ~ həjkə- ~ həskə-,xəjgi- ~ xəjkə- ~ xəskə-,,,Cincius 1982: 294,,,,,,
,ui-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ui-,ui-,ui-,,,Onenko 1980: 425,uj-,uj-,uj-,,,Sunik 1985: 245,ui-,ui-,ui-,,,Ikegami 1997: 218,ui-,ui-,ui-,,,Kormushin 1998: 300,uju-,uju-,uju-,,,"Avrorin, Lebedeva 1978: 240",uyi-,uji-,uji-,,,Dorji 1998: 744,,,,,,,uju-,uju-,uju-,,,Tsumagari 1992: 100,,,,,,,,ujiː-,ujiː-,,,,,ujiː,ujiː,,,,,uji-,uji-,,,,,,,,,,uǰ-,uj-,uj-,,,Cincius 1982: 282,uǰ-,uj-,uj-,,,Novikova 1980: 216
,sera-,,,,,,,,,,,,,,,,,,,,,,,,,sera.čì-,sera.čị-,sjeraʧɪ-,,tie.IPFV-,Sunik 1958: 189,s'íra-čí-,sịra-čị-,sjera-ʧe-,,tie-IPFV-,Sem 1976: 182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,boke-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bokí-,boke-,boke-,,,Sunik 1985: 177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fali-,,,,,,,fali-,fali-,falji-,,,Norman 1978: 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,toŋqu-,,,,,,,,,,,,,toŋqu-,toŋqu-,thoŋqu-,,,Li 1986: 158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,oːńe-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ô̄n'è-,oːńe-,oːɲe-,,,Novikova 1980: 207
,akki-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,akki-,akki-,akːɪ-,,,Dorji 1998: 18,akkɪ-,akke-,axːe-,,,Hu 1986: 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
see (v.),iči-,,,,,,,,,,,,,,,,,,,iʨi-,iči-,iʨhi-,to look,cf. look,Zhang et al. 1989: 138,ičè-,ičə-,iʧə-,,,Sunik 1958: 176,iskè- ~ isè- ~ icè-,iskə- ~ isə- ~ icə-,iskə- ~ isə- ~ iʦə-,look,cf. look,Sem 1976: 160,ičè-,ičə-,iʧə-,,,Onenko 1980: 201,ičè-,ičə-,iʧə-,,,Sunik 1985: 198,itə- ~ ič-,itə- ~ ič-,itə- ~ iʧ-,cf. look,,Ikegami 1997: 77,isə-,isə-,isə-,,,Girfanova 2001: 154,ičè-,ičə-,iʧə-,,,"Avrorin, Lebedeva 1978: 190",isi-,iši-,iʃi-,look,,Dorji 1998: 344,iʧi-,iči-,iʧi-,look,,Hu 1986: 199,icə-,icə-,iʦə-,,,Tsumagari 1992: 95,ičè-,ičə-,ɨʧə-,,,Vasilevich 1958: 183,,ičə-,it͡ʃə-,,,,,iśə-,iśə-,,,,,isə-,isə-,,,,,ičə-,it͡ʃə-,,,,iče- ~ ičè-,ičə-,iʧə-,,,Cincius 1982: 226,ič- ~ it-,ič- ~ it-,iʧ- ~ it-,notice,,Novikova 1980: 179
,ača,ača,ača,aʧa,,,Kane 1989: 288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sabu-,,,,,,,sabu-,sabu-,sabu-,perceive,,Norman 1978: 230,savə-,savə-,sɑvɘ-,look,,Li 1986: 155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet,amtəŋ,,,,,,,,,,,,,amtəŋ,amtəŋ,ɑmthɘŋ,,,Li 1986: 163,amtdəkuli,amtdəkuli,amthtəqhuli,,,Zhang et al. 1989: 141,amta-sì,amta-sị,amta-sjɪ,,taste-SUF,Sunik 1958: ,amta-ŋǧa,amta-ŋga,amta-ŋɢa,tasty,taste-SUF,Sem 1976: 138,amta-sī,amta-seː,amta-seː,tasty,taste-SUF,Onenko 1980: 39,amta ~ amta-úli,amta ~ amta-oli,amta ~ amtaoli,delicious,tasty-ADJ,Sunik 1985: 172,apta-uli,apta-uli,ɑptɑuli,,sweet-ADJ,Ikegami 1997: 10,,,,,,,amta-si ~ amta-ňki,amta-si ~ amta-ŋki,amta-sji ~ amta-ŋkji,tasty,taste-SUF,"Avrorin, Lebedeva 1978: 163",anta.si,anta.ši,antaʃɪ,delicious,tasty.SUF,Dorji 1998: 36,,,,,,,,,,,,,,,,,,,,,,,,,,alapču,alapʧu,delicious,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʤi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,зəhi,ʤi,ʣi,,,Girfanova 2001: 132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nəi,nei,nəi,nəi,,,Kane 1989: 323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,danču,danču,danču,danʧu,,,Kane 1989: 342,jancuhūn,ʤančuhuːn,ʤanʧuxuːn,"pleasant, agreeable",,Norman 1978: 156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dale ~ dali ~ dali-gdi,dale ~ dali ~ dali-gdi,dale ~ dali ~ daligdi,sweet,sweet-ADJ,Cincius 1982: 208,dal.rắ ~ dal.sí,dal.ra ~ dal.si,daˁlraˁ ~ daˁlsiˁ,delicious,tasty.SUF,Novikova 1980: 169
,ʤụteː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʤʊtɪɪ,ʤụteː,ʤʊteː,,,Hu 1986: 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ala-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ala-pču,ala-pču,alapʧu,delicious,delicious-ADJ,Vasilevich 1958: 23,,,,,,,,,,,,,,,,,,,,,,,,,alagdi,alagdi,alagdi,sweet,sweet-ADJ,Cincius 1982: 189,,,,,,
rope (n.),horkuŋ,,,,,,,,,,,,,,,,,,,xɔrkuŋ,horkuŋ,xorqhuŋ,,,Zhang et al. 1989: 137,hotkon,hotkon,χotqon,,,Sunik 1958: 201,ḥorḳo,horko,χorqo,,,Sem 1976: 203,,,,,,,horko,horko,xorko,,,Sunik 1985: 252,xorko,horko,χɔrqɔ,,,Ikegami 1997: 241,,,,,,,,,,,,,okkong,ụkkụŋ,ʊkːʊŋ,,,Dorji 1998: 523,ʊrkʊn,ụrkụn,ʊrkʊn,,,Hu 1986: 197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sụmna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,súmna,sụmna,somna,,a rope for tying the boat to a jetty,"Avrorin, Lebedeva 1978: 225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ugdə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ugdè,ugdə,ugdə,,"a cord of a net, bow or a trap","Avrorin, Lebedeva 1978: 240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,huː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hū,huː,xuː,,,Girfanova 2001: 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,topto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,topto,topto,twoptwo,,,Onenko 1980: 405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
